path,classification,rule_reason,owner,component_ids,trail_ids,disposition
"Assets/Input/PlayerControls.inputactions","serialized-wiring","runtime configuration","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Prefabs/Environment/Aisles.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Cash Register.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Ceiling Light.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Cube Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Entrance/Entrance Wall.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/FruitBasket.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/FruitStand.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Mini Table.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Moving Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Register.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Shelf Holder.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Shelf Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Shelf.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Staging Shelf.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Start Timer.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Environment/Stop Timer.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Full Levels/Sample Level.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Items/Apple.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
